source,rotation_deg,flip_lr,flip_ud,crop_top,crop_bottom,crop_left,crop_right,specimen
__global__,,,,15,15,15,15,Corrosion
HallAirCore/Corrosion/ChirpBackside/hall_aircore_corosion_backside_chirp_300x300_z1_20260121_102900.tdms,270,0,0,,,,,
HallAirCore/Corrosion/ChirpBackside/hall_aircore_corosion_backside_chirp_300x300_z2_20260121_142705.tdms,270,0,0,,,,,
HallAirCore/Corrosion/ChirpBackside/hall_aircore_corosion_backside_chirp_300x300_z3_20260121_182701.tdms,270,0,0,,,,,
HallAirCore/Corrosion/ChirpFrontside/hall_aircore_corosion_frontside_chirp_300x300_2.97_500-1500hz_z1_20260118_162411.tdms,0,0,0,,,,,
HallAirCore/Corrosion/ChirpFrontside/hall_aircore_corosion_frontside_chirp_300x300_2.97_500-1500hz_z2_20260118_194743.tdms,0,0,0,,,,,
HallAirCore/Corrosion/ChirpFrontside/hall_aircore_corosion_frontside_chirp_300x300_2.97_500-1500hz_z3_20260118_231219.tdms,0,0,0,,,,,
HallAirCore/Corrosion/GaussBackside/hall_aircore_corosion_backside_gaussian_300x300_1000hz_z1_20260120_230854.tdms,270,0,0,,,,,
HallAirCore/Corrosion/GaussBackside/hall_aircore_corosion_backside_gaussian_300x300_1000hz_z2_20260121_023224.tdms,270,0,0,,,,,
HallAirCore/Corrosion/GaussBackside/hall_aircore_corosion_backside_gaussian_300x300_1000hz_z3_20260121_055657.tdms,270,0,0,,,,,
HallAirCore/Corrosion/GaussFrontside/hall_aircore_corosion_frontside_gaussian_300x300_3.88_1000hz_z1_20260118_024203.tdms,0,0,0,,,,,
HallAirCore/Corrosion/GaussFrontside/hall_aircore_corosion_frontside_gaussian_300x300_3.88_1000hz_z2_20260118_060535.tdms,0,0,0,,,,,
HallAirCore/Corrosion/GaussFrontside/hall_aircore_corosion_frontside_gaussian_300x300_3.88_1000hz_z3_20260118_125932.tdms,0,0,0,,,,,
HallAirCore/Corrosion/SquareBackside/hall_aircore_corosion_backside_square_300x300_200hz_z1_20260120_093410.tdms,270,0,0,,,,,
HallAirCore/Corrosion/SquareBackside/hall_aircore_corosion_backside_square_300x300_200hz_z2_20260120_161942.tdms,270,0,0,,,,,
HallAirCore/Corrosion/SquareBackside/hall_aircore_corosion_backside_square_300x300_200hz_z3_20260120_194414.tdms,270,0,0,,,,,
HallAirCore/Corrosion/SquareFrontside/hall_aircore_corosion_frontside_square_300x300_2.1_200hz_z1_20260117_162910.tdms,0,0,0,,,,,
HallAirCore/Corrosion/SquareFrontside/hall_aircore_corosion_frontside_square_300x300_2.1_200hz_z2_20260117_195246.tdms,0,0,0,,,,,
HallAirCore/Corrosion/SquareFrontside/hall_aircore_corosion_frontside_square_300x300_2.1_200hz_z3_20260117_231721.tdms,0,0,0,,,,,
HallAirCore/Mixed/Chirp/hall_aircore_mixed_frontside_chirp_300x300_z1_20260125_215812.tdms,270,0,0,,,,,
HallAirCore/Mixed/Chirp/hall_aircore_mixed_frontside_chirp_300x300_z2_20260126_012142.tdms,270,0,0,,,,,
HallAirCore/Mixed/Chirp/hall_aircore_mixed_frontside_chirp_300x300_z3_20260125_215815.tdms,90,0,0,,,,,
HallAirCore/Mixed/Gauss/hall_aircore_mixed_frontside_gaussian_300x300_z1_20260124_195609.tdms,270,0,0,,,,,
HallAirCore/Mixed/Gauss/hall_aircore_mixed_frontside_gaussian_300x300_z2_20260125_104829.tdms,270,0,0,,,,,
HallAirCore/Mixed/Gauss/hall_aircore_mixed_frontside_gaussian_300x300_z3_20260125_183338.tdms,270,0,0,,,,,
HallAirCore/Mixed/Square/hall_aircore_mixed_frontside_square_300x300_z1_20260124_094326.tdms,270,0,0,,,,,
HallAirCore/Mixed/Square/hall_aircore_mixed_frontside_square_300x300_z2_20260124_130703.tdms,270,0,0,,,,,
HallAirCore/Mixed/Square/hall_aircore_mixed_frontside_square_300x300_z3_20260124_163137.tdms,270,0,0,,,,,
HallAirCore/Rivet/Chirp/hall_aircore_rivet_frontside_chirp_300x300_500_1500hz_z1_20260123_202334.tdms,180,0,0,,,,,
HallAirCore/Rivet/Chirp/hall_aircore_rivet_frontside_chirp_300x300_500_1500hz_z2_20260123_234705.tdms,180,0,0,,,,,
HallAirCore/Rivet/Chirp/hall_aircore_rivet_frontside_chirp_300x300_500_1500hz_z3_20260124_031140.tdms,180,0,0,,,,,
HallAirCore/Rivet/Gauss/hall_aircore_rivet_frontside_gaussian_300x300_1000hz_z2_20260123_133421.tdms,180,0,0,,,,,
HallAirCore/Rivet/Gauss/hall_aircore_rivet_frontside_gaussian_300x300_1000hz_z3_20260123_165901.tdms,180,0,0,,,,,
HallAirCore/Rivet/Gauss/hall_aircore_rivet_frontside_gaussian_300x300_z1_20260122_181524.tdms,180,0,0,,,,,
HallAirCore/Rivet/Square/hall_aircore_rivet_frontside_square_300x300_200hz_z2_20260123_100946.tdms,180,0,0,,,,,
HallAirCore/Rivet/Square/hall_aircore_rivet_frontside_square_300x300_z1_20260122_112723.tdms,180,0,0,,,,,
HallAirCore/Rivet/Square/hall_aircore_rivet_frontside_square_300x300_z3_20260122_145053.tdms,180,0,0,,,,,
HallPotCore/Corrosion/ChirpBackside/corosion_backside_chirp_300x300_z1_20260109_123611.tdms,270,0,0,,,,,
HallPotCore/Corrosion/ChirpBackside/corosion_backside_chirp_300x300_z2_20260109_155949.tdms,270,0,0,,,,,
HallPotCore/Corrosion/ChirpBackside/corosion_backside_chirp_300x300_z3_20260109_200429.tdms,270,0,0,,,,,
HallPotCore/Corrosion/ChirpFrontside/corosion_frontside_chirp_300x300_f500hz_f1500hz_amp2.97_z1mm_20260107_061143.tdms,0,0,0,,,,,
HallPotCore/Corrosion/ChirpFrontside/corosion_frontside_chirp_300x300_f500hz_f1500hz_amp2.97_z2mm_20260107_093447.tdms,0,0,0,,,,,
